Date,Open,High,Low,Close,Volume
2024-07-03 13:37:00,223.24,224.27,223.1,223.8,23673
2024-07-03 13:38:00,224.17,224.97,224.17,224.31,19788
2024-07-03 13:39:00,224.24,224.78,224.14,224.72,14137
2024-07-03 13:40:00,224.85,225.35,224.5,225.18,21543
2024-07-03 13:41:00,225.15,225.41,224.3,224.56,33933
2024-07-03 13:42:00,224.43,224.43,223.5,224.12,17033
2024-07-03 13:43:00,224.3,224.48,224.1,224.37,4143
2024-07-03 13:44:00,224.34,225.18,224.23,225.18,13081
2024-07-03 13:45:00,225.15,225.44,224.85,224.85,19139
2024-07-03 13:46:00,224.85,225.68,224.85,225.65,17488
2024-07-03 13:47:00,225.6,225.68,224.63,225.36,29916
2024-07-03 13:48:00,225.11,225.3,224.51,225.15,14734
2024-07-03 13:49:00,225.04,225.43,224.88,225.34,5662
2024-07-03 13:50:00,225.16,225.47,225.02,225.24,8885
2024-07-03 13:51:00,225.41,225.71,225.2,225.59,10327
2024-07-03 13:52:00,225.59,225.81,224.6,224.96,33869
2024-07-03 13:53:00,224.92,225.51,224.65,225.24,15470
2024-07-03 13:54:00,225.12,225.33,224.79,224.79,7659
2024-07-03 13:55:00,224.85,225.2,224.39,225.09,19271
2024-07-03 13:56:00,225.04,225.59,224.89,225.5,17108
2024-07-03 13:57:00,225.37,225.56,225.02,225.24,13965
2024-07-03 13:58:00,225.16,225.33,225.03,225.23,2250
2024-07-03 13:59:00,225.15,225.55,224.82,225.48,16229
2024-07-03 14:00:00,225.59,226.2,224.55,224.67,41310
2024-07-03 14:01:00,224.67,225.26,224.67,225.16,10622
2024-07-03 14:02:00,224.99,225.16,224.49,225.16,15653
2024-07-03 14:03:00,225.1,225.1,224.43,224.52,14381
2024-07-03 14:04:00,224.67,225.0,224.26,224.95,14740
2024-07-03 14:05:00,224.9,225.73,224.81,225.48,12274
2024-07-03 14:06:00,225.39,226.01,225.32,225.76,17723
2024-07-03 14:07:00,225.57,225.57,225.25,225.4,12017
2024-07-03 14:08:00,225.57,226.59,225.17,226.49,25245
2024-07-03 14:09:00,226.2,226.45,225.24,225.52,14016
2024-07-03 14:10:00,225.56,226.2,225.55,226.18,5822
2024-07-03 14:11:00,226.25,226.87,225.5,225.53,32047
2024-07-03 14:12:00,225.34,225.72,225.0,225.4,8473
